Character,Local Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Mandira ,25,0.7575757575757576,0.9109848484848485,0.7674418604651163,0.6466122837017705
Shopkeeper,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Matilal,2,0.06060606060606061,0.0,0.44594594594594594,0.15221878797027558
Nurse,2,0.06060606060606061,0.11742424242424243,0.4647887323943662,0.11746483915670528
Medhi,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Rashmi,2,0.06060606060606061,0.0,0.44594594594594594,0.1475561355843335
Praneswar,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Abhijit,4,0.12121212121212122,0.006628787878787879,0.4714285714285714,0.19242155859224613
Abhi,3,0.09090909090909091,0.11742424242424243,0.4714285714285714,0.15242072664099487
Jayram,2,0.06060606060606061,0.0,0.44594594594594594,0.1475561355843335
Mrs. Baruah,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Reema,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Mandira's Mother,6,0.18181818181818182,0.17708333333333334,0.4925373134328358,0.18709910614496558
House Help,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Malati,2,0.06060606060606061,0.0,0.44594594594594594,0.1439535890131528
Mandira's Uncle ,3,0.09090909090909091,0.003787878787878788,0.4714285714285714,0.17193664220874047
Orpahanage Worker,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Chakravartti,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Rajani,2,0.06060606060606061,0.0,0.4647887323943662,0.14662015606308826
Dey Babu,4,0.12121212121212122,0.002840909090909091,0.4647887323943662,0.21893421112957687
Tiwari,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Rajiv,6,0.18181818181818182,0.06534090909090909,0.4782608695652174,0.24990272330380672
Noor,3,0.09090909090909091,0.0,0.4583333333333333,0.19616793284373407
Rajiv's Adoptive Mother,2,0.06060606060606061,0.0,0.4520547945205479,0.15766503141505578
Gogoi,2,0.06060606060606061,0.0,0.4520547945205479,0.15766503141505578
Group of Women,1,0.030303030303030304,0.0,0.44,0.11371588654159723
Mechnique,1,0.030303030303030304,0.0,0.32673267326732675,0.043949144873458544
Rashmi ,2,0.06060606060606061,0.06060606060606061,0.33,0.027661084922117316
Chinmay,1,0.030303030303030304,0.0,0.25,0.004864591056661346
Mandira's Father,1,0.030303030303030304,0.0,0.3333333333333333,0.03290426952149101
Mrs. Kakoti,1,0.030303030303030304,0.0,0.3333333333333333,0.03290426952149101
Lily,1,0.030303030303030304,0.0,0.3333333333333333,0.03290426952149101
Doctor 1,2,0.06060606060606061,0.06060606060606061,0.32673267326732675,0.02131737814699337
Doctor 2,1,0.030303030303030304,0.0,0.24812030075187969,0.0037489526151080507
